A-9.5x7M,A-9_Burning_Bush,0.57326,0.8,5.6,7,0.5
A-9.5x7P,A-9_Burning_Bush,0.026478053,0.8,5.6,7,0.0197
A-9,A-9_Burning_Bush,1.60088,0.8,8,10,0.75
A-9P,A-9_Burning_Bush,0.054036842,0.8,8,10,0.0197
A-9.11x14M,A-9_Burning_Bush,3.1377248,0.8,11.2,14,0.75
A-9.11x14P,A-9_Burning_Bush,0.105912211,0.8,11.2,14,0.0197
A-9.16x20M,A-9_Burning_Bush,6.40352,0.8,16,20,0.75
A-9.16x20P,A-9_Burning_Bush,0.21614737,0.8,16,20,0.0197
A-9.20x24M,A-9_Burning_Bush,9.2210688,0.8,19.2,24,0.75
A-9.20x24P,A-9_Burning_Bush,0.311252213,0.8,19.2,24,0.0197
A-9.24x30M,A-9_Burning_Bush,14.40792,0.8,24,30,0.75
A-9.24x30P,A-9_Burning_Bush,0.486331582,0.8,24,30,0.0197
A-9.30x40M,A-9_Burning_Bush,25.61408,0.8,32,40,0.75
A-9.30x40P,A-9_Burning_Bush,0.864589479,0.8,32,40,0.0197
A-9.40x50M,A-9_Burning_Bush,40.022,0.8,40,50,0.75
A-9.40x50P,A-9_Burning_Bush,1.350921062,0.8,40,50,0.0197
A-10.5x7M,A-10-of-Kazan,0.572112167,0.798333333,5.588333333,7,0.5
A-10.5x7P,A-10-of-Kazan,0.02642289,0.798333333,5.588333333,7,0.0197
A-10,A-10-of-Kazan,1.597503167,0.798333333,7.983333333,10,0.75
A-10P,A-10-of-Kazan,0.053924266,0.798333333,7.983333333,10,0.0197
A-10.11x14M,A-10-of-Kazan,3.131106207,0.798333333,11.17666667,14,0.75
A-10.11x14P,A-10-of-Kazan,0.105691561,0.798333333,11.17666667,14,0.0197
A-10.16x20M,A-10-of-Kazan,6.390012667,0.798333333,15.96666667,20,0.75
A-10.16x20P,A-10-of-Kazan,0.215697063,0.798333333,15.96666667,20,0.0197
A-10.20x24M,A-10-of-Kazan,9.20161824,0.798333333,19.16,24,0.75
A-10.20x24P,A-10-of-Kazan,0.310603771,0.798333333,19.16,24,0.0197
A-10.24x30M,A-10-of-Kazan,14.3775285,0.798333333,23.95,30,0.75
A-10.24x30P,A-10-of-Kazan,0.485318391,0.798333333,23.95,30,0.0197
A-10.30x40M,A-10-of-Kazan,25.56005067,0.798333333,31.93333333,40,0.75
A-10.30x40P,A-10-of-Kazan,0.862788251,0.798333333,31.93333333,40,0.0197
A-10.40x50M,A-10-of-Kazan,39.93757917,0.798333333,39.91666667,50,0.75
A-10.40x50P,A-10-of-Kazan,1.348106643,0.798333333,39.91666667,50,0.0197
A-11.5x7M,A-11_Theotokos_Korsun,0.621469,0.87,6.09,7,0.5
A-11.5x7P,A-11_Theotokos_Korsun,0.028794882,0.87,6.09,7,0.0197
A-11,A-11_Theotokos_Korsun,1.742707,0.87,8.7,10,0.75
A-11P,A-11_Theotokos_Korsun,0.058765066,0.87,8.7,10,0.0197
A-11.11x14M,A-11_Theotokos_Korsun,3.41570572,0.87,12.18,14,0.75
A-11.11x14P,A-11_Theotokos_Korsun,0.11517953,0.87,12.18,14,0.0197
A-11.16x20M,A-11_Theotokos_Korsun,6.970828,0.87,17.4,20,0.75
A-11.16x20P,A-11_Theotokos_Korsun,0.235060265,0.87,17.4,20,0.0197
A-11.20x24M,A-11_Theotokos_Korsun,10.03799232,0.87,20.88,24,0.75
A-11.20x24P,A-11_Theotokos_Korsun,0.338486781,0.87,20.88,24,0.0197
A-11.24x30M,A-11_Theotokos_Korsun,15.684363,0.87,26.1,30,0.75
A-11.24x30P,A-11_Theotokos_Korsun,0.528885596,0.87,26.1,30,0.0197
A-11.30x40M,A-11_Theotokos_Korsun,27.883312,0.87,34.8,40,0.75
A-11.30x40P,A-11_Theotokos_Korsun,0.940241059,0.87,34.8,40,0.0197
A-11.40x50M,A-11_Theotokos_Korsun,43.567675,0.87,43.5,50,0.75
A-11.40x50P,A-11_Theotokos_Korsun,1.469126655,0.87,43.5,50,0.0197
A-13.5x7M,A-13_Theotokos_Platytera,0.486024667,1.485148515,7,4.713333333,0.5
A-13.5x7P,A-13_Theotokos_Platytera,0.022285694,1.485148515,7,4.713333333,0.0197
A-13,A-13_Theotokos_Platytera,1.344240667,1.485148515,10,6.733333333,0.75
A-13P,A-13_Theotokos_Platytera,0.045481009,1.485148515,10,6.733333333,0.0197
A-13.11x14M,A-13_Theotokos_Platytera,2.634711707,1.485148515,14,9.426666667,0.75
A-13.11x14P,A-13_Theotokos_Platytera,0.089142778,1.485148515,14,9.426666667,0.0197
A-13.16x20M,A-13_Theotokos_Platytera,5.376962667,1.485148515,20,13.46666667,0.75
A-13.16x20P,A-13_Theotokos_Platytera,0.181924036,1.485148515,20,13.46666667,0.0197
A-13.20x24M,A-13_Theotokos_Platytera,7.74282624,1.485148515,24,16.16,0.75
A-13.20x24P,A-13_Theotokos_Platytera,0.261970612,1.485148515,24,16.16,0.0197
A-13.24x30M,A-13_Theotokos_Platytera,12.098166,1.485148515,30,20.2,0.75
A-13.24x30P,A-13_Theotokos_Platytera,0.409329082,1.485148515,30,20.2,0.0197
A-13.30x40M,A-13_Theotokos_Platytera,21.50785067,1.485148515,40,26.93333333,0.75
A-13.30x40P,A-13_Theotokos_Platytera,0.727696145,1.485148515,40,26.93333333,0.0197
A-13.40x50M,A-13_Theotokos_Platytera,33.60601667,1.485148515,50,33.66666667,0.75
A-13.40x50P,A-13_Theotokos_Platytera,1.137025227,1.485148515,50,33.66666667,0.0197
A-14.5x7M,A-14_Theotokos_Myrtle_Tree,0.526198833,0.731666667,5.121666667,7,0.5
A-14.5x7P,A-14_Theotokos_Myrtle_Tree,0.024216386,0.731666667,5.121666667,7,0.0197
A-14,A-14_Theotokos_Myrtle_Tree,1.462429833,0.731666667,7.316666667,10,0.75
